index,t,days,years,latmin,lonmin,latmax,lonmax,siteID,lpC,sdlpC,MLD,N0
187,1477,16,2002,40,-45,45,-35,1,2.21953583661824,0.858794831557865,113.686515513857,15.5072484375
188,1485,24,2002,40,-45,45,-35,1,2.22066689778108,1.20875429838753,133.407537940476,15.5072484375
189,1493,32,2002,40,-45,45,-35,1,2.35827732499735,0.935489598474159,153.128560845786,15.5072484375
190,1501,40,2002,40,-45,45,-35,1,2.19058583739482,1.0040787194188,172.849583287074,15.5072484375
191,1509,48,2002,40,-45,45,-35,1,2.01815204043386,1.06130726136009,189.652050104605,15.5072484375
192,1517,56,2002,40,-45,45,-35,1,2.26699633331105,0.691284004051495,197.698848664794,15.5072484375
193,1525,64,2002,40,-45,45,-35,1,1.86193668692746,0.931522581041486,205.745647533272,15.5072484375
194,1533,72,2002,40,-45,45,-35,1,2.20491762836169,0.826910663476587,213.792446160416,15.5072484375
195,1541,80,2002,40,-45,45,-35,1,2.50648106049548,0.791288172086454,195.649748083188,15.5072484375
196,1549,88,2002,40,-45,45,-35,1,1.70390321139782,0.976232684828175,168.777217542165,15.5072484375
197,1557,96,2002,40,-45,45,-35,1,2.2017656271957,0.631789959874764,141.904687389666,15.5072484375
198,1565,104,2002,40,-45,45,-35,1,3.00854054071178,0.68680151827098,115.032156743805,15.5072484375
199,1573,112,2002,40,-45,45,-35,1,2.74460755455787,0.504058348507134,98.4013460137616,15.5072484375
200,1581,120,2002,40,-45,45,-35,1,3.01298550898466,0.598240956812942,83.2336383355328,15.5072484375
201,1589,128,2002,40,-45,45,-35,1,3.3984300747938,0.679790157833263,68.0659305796857,15.5072484375
202,1597,136,2002,40,-45,45,-35,1,2.97441176511576,0.654478511425346,53.8387852705353,15.5072484375
203,1605,144,2002,40,-45,45,-35,1,2.56064120157547,0.646984736842033,46.1955776953367,15.5072484375
204,1613,152,2002,40,-45,45,-35,1,2.50125493112425,0.579960588400824,38.5523700374034,15.5072484375
205,1621,160,2002,40,-45,45,-35,1,2.55384542955533,0.479453039540204,30.9091625101368,15.5072484375
206,1629,168,2002,40,-45,45,-35,1,2.45813733571289,0.656179043174771,24.5089543776546,15.5072484375
207,1637,176,2002,40,-45,45,-35,1,2.36345053430022,0.49797440537108,21.8377447906054,15.5072484375
208,1645,184,2002,40,-45,45,-35,1,2.42604521480474,0.532012247770928,19.1665351872395,15.5072484375
209,1653,192,2002,40,-45,45,-35,1,2.55544642906297,0.406700154237814,16.4953255812162,15.5072484375
210,1661,200,2002,40,-45,45,-35,1,2.46051904919666,0.347234961866021,15.3586176864389,15.5072484375
211,1669,208,2002,40,-45,45,-35,1,2.54170684195047,0.387392742611094,15.7564114726335,15.5072484375
212,1677,216,2002,40,-45,45,-35,1,2.26243216536695,0.38152661040736,16.154205242768,15.5072484375
213,1685,224,2002,40,-45,45,-35,1,2.14950867663632,0.399003373479726,16.5519990432842,15.5072484375
214,1693,232,2002,40,-45,45,-35,1,2.44039492712026,0.382046456901498,18.1294961289731,15.5072484375
215,1701,240,2002,40,-45,45,-35,1,2.20534695824019,0.440756371598509,20.4148152097812,15.5072484375
216,1709,248,2002,40,-45,45,-35,1,2.04108033271719,0.523717662725082,22.7001342684444,15.5072484375
217,1717,256,2002,40,-45,45,-35,1,2.18521490134784,0.600248389702262,24.9854533006914,15.5072484375
218,1725,264,2002,40,-45,45,-35,1,1.78487840940395,0.709326302843212,30.521527347068,15.5072484375
219,1733,272,2002,40,-45,45,-35,1,2.20005789734565,0.649824209473306,37.1411864321597,15.5072484375
220,1741,280,2002,40,-45,45,-35,1,2.17515773932915,0.565643307348484,43.7608455384607,15.5072484375
221,1749,288,2002,40,-45,45,-35,1,2.09631698644197,0.698809614362897,50.3805045795773,15.5072484375
222,1757,296,2002,40,-45,45,-35,1,2.16929083666011,0.755558675923701,60.2577632477053,15.5072484375
223,1765,304,2002,40,-45,45,-35,1,2.26303694260327,0.800936225715966,70.1350218359134,15.5072484375
224,1773,312,2002,40,-45,45,-35,1,1.98466649532072,0.835563108608617,80.0122805107303,15.5072484375
225,1781,320,2002,40,-45,45,-35,1,2.21464429535879,0.676413985093387,89.6799857923723,15.5072484375
226,1789,328,2002,40,-45,45,-35,1,2.23919718482254,0.758685036205323,97.8808180802402,15.5072484375
227,1797,336,2002,40,-45,45,-35,1,2.37538951056224,0.805565899260383,106.081650221977,15.5072484375
228,1805,344,2002,40,-45,45,-35,1,1.99234070599813,1.09850084029067,114.282482447293,15.5072484375
229,1813,352,2002,40,-45,45,-35,1,1.72742247951082,1.1745574987466,118.61574953566,15.5072484375
230,1821,360,2002,40,-45,45,-35,1,2.226463139759,1.13290372596621,116.503074610896,15.5072484375
1,1,1,1998,45,-45,50,-35,2,1.62534568909115,1.14585861384155,109.931332771977,17.6084321875
2,8,8,1998,45,-45,50,-35,2,1.62534568909115,1.14585861384155,109.931332771977,17.6084321875
3,16,16,1998,45,-45,50,-35,2,1.44218600184181,1.19098994260192,111.433178310759,17.6084321875
4,24,24,1998,45,-45,50,-35,2,1.57932454539889,1.23376714759837,117.645736695263,17.6084321875
5,32,32,1998,45,-45,50,-35,2,1.1146111822546,1.28838939997381,123.858294937545,17.6084321875
6,40,40,1998,45,-45,50,-35,2,0.869886625511454,1.43563880756946,130.070853387912,17.6084321875
7,48,48,1998,45,-45,50,-35,2,2.14958808128931,0.806212444726683,132.511512392429,17.6084321875
8,56,56,1998,45,-45,50,-35,2,2.06577061747726,0.771071511985315,123.636474346718,17.6084321875
9,64,64,1998,45,-45,50,-35,2,2.27950784514474,0.824867407220375,114.761436075635,17.6084321875
10,72,72,1998,45,-45,50,-35,2,2.37332749048389,0.767160767621935,105.886397990022,17.6084321875
11,80,80,1998,45,-45,50,-35,2,2.22033771348918,0.764657579600012,103.197503426058,17.6084321875
12,88,88,1998,45,-45,50,-35,2,2.54981215492109,0.637789950464935,102.570656737818,17.6084321875
13,96,96,1998,45,-45,50,-35,2,2.36033781198704,0.898782911368467,101.943810148918,17.6084321875
14,104,104,1998,45,-45,50,-35,2,2.60372722997197,0.649887953913188,101.316963735389,17.6084321875
15,112,112,1998,45,-45,50,-35,2,3.18686648045103,0.552909927182677,91.9718746648235,17.6084321875
16,120,120,1998,45,-45,50,-35,2,2.94593811634248,0.549050051439914,81.3813227296044,17.6084321875
17,128,128,1998,45,-45,50,-35,2,3.31786887285529,0.728513423837632,70.7907707009384,17.6084321875
18,136,136,1998,45,-45,50,-35,2,3.25905487813852,0.513353374394863,60.3103813349871,17.6084321875
19,144,144,1998,45,-45,50,-35,2,3.4670769162403,0.581273734093652,50.6011317414046,17.6084321875
20,152,152,1998,45,-45,50,-35,2,3.64278964201935,0.415196166591168,40.8918820350867,17.6084321875
21,160,160,1998,45,-45,50,-35,2,3.51986477910468,0.429050856120454,31.1826324527546,17.6084321875
22,168,168,1998,45,-45,50,-35,2,3.25213035652106,0.506751389548652,23.3887202707761,17.6084321875
23,176,176,1998,45,-45,50,-35,2,2.9943576406114,0.55792209470653,21.3408202905871,17.6084321875
