index,t,days,years,latmin,lonmin,latmax,lonmax,siteID,lpC,sdlpC,MLD,N0,light,pgrPhytC,sdpgrPhytC,Zeu,sdZeu
100,787,56,2000,40,-45,45,-35,1,2.43466197277691,0.693170771201779,170.95102026648,15.5072484375,70.2229495312977,-0.0626706041049109,0.122191602429592,57.6908127553934,5.23138965361879
101,795,64,2000,40,-45,45,-35,1,1.93329713993763,0.766937784719289,185.351163221102,15.5072484375,70.4108062786033,0.0621422151550533,0.111830745003677,55.0061995584111,6.50067566906502
102,803,72,2000,40,-45,45,-35,1,2.43043486117805,0.621097652531651,199.751305675176,15.5072484375,66.4915644359173,0.00315516315968767,0.105657186476953,53.8749849973127,7.22708782478933
103,811,80,2000,40,-45,45,-35,1,2.45567616645555,0.732817720352186,197.583510870835,15.5072484375,96.9080322446189,0.0345042025718308,0.103163578942221,53.3394614283913,9.06746927132978
104,819,88,2000,40,-45,45,-35,1,2.73170978703019,0.621832030475575,189.893069930954,15.5072484375,114.455357708345,-0.0602040408695642,0.11127189837169,51.1748555735752,9.40915826629152
105,827,96,2000,40,-45,45,-35,1,2.25007746007368,0.758093427462537,182.20262944763,15.5072484375,92.0262669309591,0.00710793802913732,0.111017046687208,56.8442035263452,7.97608383701485
106,835,104,2000,40,-45,45,-35,1,2.30694096430678,0.572497552582116,174.512188853241,15.5072484375,121.865696135161,0.0309575241045983,0.106733610062733,56.0656376674779,6.66932907670752
107,843,112,2000,40,-45,45,-35,1,2.55460115714356,0.71002629252192,139.099287999355,15.5072484375,120.072886250553,0.0114114842577576,0.113934842234162,55.5879492448442,8.02173795758641
108,851,120,2000,40,-45,45,-35,1,2.64589303120562,0.672146388430613,99.7260365008812,15.5072484375,74.3471647653066,0.0336363042911145,0.103530252068282,50.5688621618356,7.05266763732278
109,859,128,2000,40,-45,45,-35,1,2.91498346553454,0.593570696157165,60.3527846850954,15.5072484375,106.09009519339,0.0174453874191085,0.0821287261253082,47.7316523908416,7.78322954267975
110,867,136,2000,40,-45,45,-35,1,3.0545465648874,0.402093221649209,25.7640029175249,15.5072484375,97.0307953035374,0.0385893275137957,0.0661197938862182,48.388670624611,8.0277076629314
111,875,144,2000,40,-45,45,-35,1,3.36326118499776,0.477159107104982,24.6665118617813,15.5072484375,157.995980396935,-0.00493725875637513,0.0631355974940046,49.2589325231319,10.4433810747666
112,883,152,2000,40,-45,45,-35,1,3.32376311494677,0.372231587857648,23.5690208098624,15.5072484375,137.417936004744,-0.0291215281581204,0.056675144632933,52.5745206379565,9.26523544324771
113,891,160,2000,40,-45,45,-35,1,3.09079088968181,0.432447938559211,22.4715297548308,15.5072484375,145.426734961303,-0.00529730424719264,0.0578014419447486,53.3404983333753,9.12962852589705
114,899,168,2000,40,-45,45,-35,1,3.04841245570428,0.402595986416826,21.3780104440948,15.5072484375,137.617274288868,-0.0157497659307699,0.054541549263177,56.8390836947502,8.56001744666258
115,907,176,2000,40,-45,45,-35,1,2.9224143282581,0.34975437591122,20.2964063123863,15.5072484375,129.8277742292,-0.0107868515931713,0.0553159756768916,58.3177814332319,8.14544723968118
116,915,184,2000,40,-45,45,-35,1,2.83611951551274,0.421902853312637,19.2148021385488,15.5072484375,128.647958627415,-0.0248922112362703,0.0576731033478379,60.1771667497363,9.06641885023151
117,923,192,2000,40,-45,45,-35,1,2.63698182562258,0.325030046199156,18.1331980069479,15.5072484375,125.479314663459,-0.0115388697985232,0.04755028120546,65.7876343552611,8.35541096978678
118,931,200,2000,40,-45,45,-35,1,2.54467086723439,0.333558979775179,17.9262941941536,15.5072484375,118.371191013881,0.00905839045974011,0.0508868828817226,69.7524575170552,8.54640531549251
119,939,208,2000,40,-45,45,-35,1,2.61713799091232,0.35705013898737,18.5940906768707,15.5072484375,123.999799043465,-0.0264681252391814,0.0612152038412476,69.8358255714186,8.41883958749196
120,947,216,2000,40,-45,45,-35,1,2.40539298899886,0.406657792226895,19.2618871688346,15.5072484375,142.159555404838,0.0012289623437834,0.0660842829110199,71.130954589944,8.70766183627734
121,955,224,2000,40,-45,45,-35,1,2.41522468774913,0.412451769111063,19.9296836479753,15.5072484375,136.872144334686,-0.0128872799717478,0.0619278348831237,70.6601253510192,7.95180964016333
122,963,232,2000,40,-45,45,-35,1,2.31212644797515,0.320535927314261,20.698552477931,15.5072484375,109.762734329815,-0.00814465753979319,0.0568551059759417,73.5443096781448,8.22679291427911
123,971,240,2000,40,-45,45,-35,1,2.24696918765681,0.388647309441808,21.5280647284869,15.5072484375,95.335667506975,0.010719601864041,0.0643269321788843,74.6695215988831,8.49336217350622
124,979,248,2000,40,-45,45,-35,1,2.33272600256913,0.370640130580364,22.35757700661,15.5072484375,107.921281877016,-0.00378084226280665,0.068305435203145,74.0836921461765,8.25901563459866
125,987,256,2000,40,-45,45,-35,1,2.30247926446668,0.433944830444441,23.1870892394004,15.5072484375,122.605129597211,-0.0290646600969516,0.0742469714369248,73.6269403898724,8.19942956294777
126,995,264,2000,40,-45,45,-35,1,2.06996198369107,0.465045516493867,26.0238930263288,15.5072484375,88.3430312356819,0.0298897768402654,0.0755927768802118,77.488701705172,8.04934270517519
127,1003,272,2000,40,-45,45,-35,1,2.30908019841319,0.434439219692526,29.5297939122882,15.5072484375,96.7872390776135,-0.0208870181188818,0.0837180412211943,73.2733495184126,8.0917484558277
128,1011,280,2000,40,-45,45,-35,1,2.14198405346214,0.529262005071153,33.03569487378,15.5072484375,68.5025739584656,-0.00374063323985536,0.0777272257188378,68.8775401458153,9.00586861849621
129,1019,288,2000,40,-45,45,-35,1,2.1120589875433,0.401652522111872,36.541595781727,15.5072484375,95.8251273806311,-0.00656019059234238,0.107675069304061,67.5721754858238,6.85254359001454
130,1027,296,2000,40,-45,45,-35,1,2.05957746280456,0.794102034512454,36.119607982172,15.5072484375,49.2437809241567,-0.0122303698222678,0.140282013249017,65.0297088810148,6.51093368250401
131,1035,304,2000,40,-45,45,-35,1,1.96173450422642,0.753058060271889,35.6976202072369,15.5072484375,58.9175307472828,-0.00513512348862747,0.1171892441354,62.9269974645317,7.46800249981861
132,1043,312,2000,40,-45,45,-35,1,1.9206535163174,0.728312250146456,35.2756323962411,15.5072484375,50.2036403652121,-0.0440845137753083,0.147175620787253,64.3925168749699,7.2311925289399
133,1051,320,2000,40,-45,45,-35,1,1.56797740611494,0.963431636373492,37.607946016118,15.5072484375,36.4237682418088,0.0383020172557024,0.155450608303188,65.8584316782165,8.51714711510384
134,1059,328,2000,40,-45,45,-35,1,1.87439354416055,0.910314787708591,59.2203692913554,15.5072484375,49.7063085652854,0.0795712595388199,0.137042177751919,65.7016744363979,8.17712712082134
135,1067,336,2000,40,-45,45,-35,1,2.51096362047111,0.749179809618155,80.8327925393319,15.5072484375,39.7125806218447,0.0106437934408489,0.124859152669388,60.0001727197246,5.83112334733587
136,1075,344,2000,40,-45,45,-35,1,2.59611396799789,0.873892238091015,102.445215837658,15.5072484375,35.3147341044634,0.00577517635354335,0.13972800606011,58.5057015806778,4.85361886279324
137,1083,352,2000,40,-45,45,-35,1,2.64231537882624,0.925409458189203,114.416864092483,15.5072484375,37.8238011135709,-0.018929292407401,0.11343773518295,59.0423583470127,5.08953932657096
138,1091,360,2000,40,-45,45,-35,1,2.49088103956703,0.781678050686727,110.320554212762,15.5072484375,30.0310410951855,-0.0632052459862626,0.134897233675555,59.2474234446229,4.97527668572175
139,1097,1,2001,40,-45,45,-35,1,2.35359521876586,0.626670772581487,185.489513747759,15.5072484375,29.8898590043439,0.0198530566699677,0.101535084923717,63.1830917077933,4.81275603397149
140,1104,8,2001,40,-45,45,-35,1,2.35359521876586,0.626670772581487,185.489513747759,15.5072484375,43.5082464178897,0.0198530566699677,0.101535084923717,63.1830917077933,4.81275603397149
141,1112,16,2001,40,-45,45,-35,1,2.5124196721256,0.607282217984647,214.799212690426,15.5072484375,40.386684524636,0.0108074870043157,0.100012425845667,62.3957987358842,5.55167139110641
142,1120,24,2001,40,-45,45,-35,1,2.59887956816012,0.660263468035455,221.54963963608,15.5072484375,52.7850887205425,-0.0154994254148533,0.0835169278130212,61.4766900146676,5.51775144068984
143,1128,32,2001,40,-45,45,-35,1,2.4748841648413,0.658992354221302,228.300066407389,15.5072484375,57.605848073613,-0.0766960815052883,0.125877220880991,60.5834612668892,5.2388693941149
144,1136,40,2001,40,-45,45,-35,1,1.861315512799,0.899616977080219,235.050493310757,15.5072484375,62.8587606557189,0.0456465244885082,0.151052528181786,63.695973753963,5.68119749246039
145,1144,48,2001,40,-45,45,-35,1,2.22648770870707,0.949670861222442,240.206045630309,15.5072484375,52.4394507079351,0.0267202396198192,0.152685955011687,62.874833356242,5.81361178702108
146,1152,56,2001,40,-45,45,-35,1,2.44024962566562,0.926624510490209,240.576975220442,15.5072484375,62.0493465282796,-0.0095067950282128,0.127555009334229,59.550608944165,5.87018635360562
