index,t,days,siteID,lpC,sdlpC,mld,dmld,N0,light,rPC,sdrPC,zeu,sdzeu,pgr,latitude,lpC_median,lpC_lb95,lpC_ub95,lpC_lb68,lpC_ub68
141,1112,16,6,NaN,1.31910374430708,154.925287065573,1.34903592839008,18.1777503125,15.9185195459176,NaN,0.157361590084166,NaN,7.13599977351318,NaN,52.5,NaN,NaN,NaN,NaN,NaN
142,1120,24,6,0.685548352907347,1.68429159536579,156.200357899766,1.20918854728063,18.1777503125,30.436463109347,-0.00634360647562412,0.0622332853040115,67.9546452494635,5.6995608939446,NaN,52.5,0.685548352907347,-2.6156631740096,3.9867598798243,-0.998743242458443,2.36983994827314
143,1128,32,6,0.0934852589271917,1.68898091846983,160.968324060308,0.297107965243875,18.1777503125,38.136814256327,0.073139888982153,0.218456094326345,61.8122039408537,6.10558657442338,0.0384252441136204,52.5,0.0934852589271917,-3.21691734127368,3.40388785912806,-1.59549565954264,1.78246617739702
144,1136,40,6,0.609283726041786,1.66699931805872,183.945812200308,1.46941046521621,18.1777503125,28.2473033548298,0.115361670680919,0.200893894806706,62.8030047718294,6.48039073022777,0.0579672699998066,52.5,0.609283726041786,-2.65803493735331,3.87660238943688,-1.05771559201693,2.27628304410051
145,1144,48,6,1.56311523555633,1.59141277646585,163.330949065619,-2.17489251663975,18.1777503125,29.0590401254422,-0.0116233000932207,0.236504629645671,60.7782303943244,6.10838659793862,0.0511851315029525,52.5,1.56311523555633,-1.55605380631674,4.6822842774294,-0.0282975409095201,3.15452801202218
146,1152,56,6,1.47012883481057,1.37744015501526,196.234175225497,-0.384184424631542,18.1777503125,51.8142335025519,0.0608075947317241,0.214497147585127,60.2372253909713,5.09062352632114,-0.00536832971986875,52.5,1.47012883481057,-1.22965386901934,4.16991153864048,0.0926886797953101,2.84756898982583
147,1160,64,6,1.95658959266436,1.18778671347498,131.748391800954,-2.99172072040538,18.1777503125,64.074049190196,-0.0652892837981103,0.221213890298871,56.949159222312,5.13341261993245,-0.012565372733709,52.5,1.95658959266436,-0.371472365746601,4.28465155107532,0.76880287918938,3.14437630613934
148,1168,72,6,1.43427532227948,1.25599960474501,154.110522874462,0.222629670989167,18.1777503125,49.8275495342548,-0.00647648056817347,0.2015535269814,57.2882028642966,5.38211881839527,0.0129507145183381,52.5,1.43427532227948,-1.02748390302074,3.8960345475797,0.17827571753447,2.69027492702449
149,1176,80,6,1.38246347773408,1.09307325875175,124.432877935768,-2.25656516914292,18.1777503125,59.6935615625919,0.137355856487865,0.166405617744288,53.8526147259612,5.3717034766964,0.0273173064174356,52.5,1.38246347773408,-0.75996010941935,3.52488706488751,0.28939021898233,2.47553673648583
150,1184,88,6,2.481310329637,0.780505677496108,137.091503904694,-1.20311880147776,18.1777503125,82.7103657701363,-0.0221895081008176,0.12845189762332,50.7095891789931,6.24252307394407,0.0569292651062546,52.5,2.481310329637,0.951519201744628,4.01110145752937,1.70080465214089,3.26181600713311
151,1192,96,6,2.30379426483046,0.826364369116036,99.952958815032,-2.0191898196018,18.1777503125,94.2950784010356,0.0556214469317153,0.117095741286161,46.5725455876858,8.31346179913741,0.0115330725224333,52.5,2.30379426483046,0.68412010136303,3.92346842829789,1.47742989571442,3.1301586339465
152,1200,104,6,2.74876584028419,0.731559970217017,95.5580267003018,-1.56533859048592,18.1777503125,81.0297145228212,0.00116727873640217,0.116967492418675,44.9346207413743,8.06249223198467,0.0155825696207004,52.5,2.74876584028419,1.31490829865884,4.18262338190954,2.01720587006717,3.48032581050121
153,1208,112,6,2.7581040701754,0.783968289109414,88.6309482342507,-1.21839926155009,18.1777503125,72.1484439786962,-0.0100410168060151,0.117286949760866,46.6621960856356,8.05103968753928,0.0196113014057938,52.5,2.7581040701754,1.22152622352095,4.29468191682985,1.97413578106599,3.54207235928481
154,1216,120,6,2.67777593572727,0.7478735814712,62.38483264337,-1.68363951447387,18.1777503125,123.327814926306,0.0677076422869972,0.104803225432529,46.1524839125081,7.06555831150092,0.0254584739574883,52.5,2.67777593572727,1.21194371604372,4.14360815541082,1.92990235425607,3.42564951719847
155,1224,128,6,3.21943707402324,0.567551213789232,66.3164444230997,-0.802105758782058,18.1777503125,100.686693746877,0.0187087963914836,0.0775124824516064,46.7287188003134,5.12790122252854,0.0310605356411942,52.5,3.21943707402324,2.10703669499635,4.33183745305013,2.65188586023401,3.78698828781247
156,1232,136,6,3.36910744515512,0.460371712166067,48.2235998868777,-1.32484261979523,18.1777503125,112.817160784724,0.00676516824510187,0.0625397266452951,46.7550723774901,4.876891254187,0.0103135509285167,52.5,3.36910744515512,2.46677888930963,4.27143600100061,2.90873573298905,3.82947915732119
157,1240,144,6,3.42322879111593,0.530812704542248,43.1342944326006,-0.758352110000258,18.1777503125,133.510227653417,0.00546668814896391,0.0628736337266772,50.4198971980486,5.32132148391782,0.00896364373355,52.5,3.42322879111593,2.38283589021312,4.46362169201874,2.89241608657368,3.95404149565818
158,1248,152,6,3.46696229630764,0.571120832345977,34.5202215480143,-0.473443028798542,18.1777503125,125.704078640311,0.0146590748065856,0.0730369967158375,47.0611079025274,6.27719459569021,0.00709936637573416,52.5,3.46696229630764,2.34756546490953,4.58635912770576,2.89584146396166,4.03808312865362
159,1256,160,6,3.58423489476032,0.636842223287143,30.0231492468715,-0.199932857071287,18.1777503125,139.89114679025,0.00117233617165286,0.0624389828307358,42.8494130012398,7.67469650172423,0.00110207163531291,52.5,3.58423489476032,2.33602413711752,4.83244565240312,2.94739267147318,4.22107711804746
160,1264,168,6,3.59361358413355,0.531336609159192,31.7716617414356,-0.0722284628612959,18.1777503125,95.7865139852264,-0.0125251960723002,0.0626541932576883,43.121690350672,6.23212000592248,-0.00693560658511167,52.5,3.59361358413355,2.55219383018153,4.63503333808557,3.06227697497436,4.12495019329274
161,1272,176,6,3.49341201555515,0.448399945614924,29.7218329783034,-0.271868498483325,18.1777503125,106.961087135861,-0.00945395985468853,0.0510799296618246,43.0782728692397,6.25832346349082,-0.0084438547562279,52.5,3.49341201555515,2.6145481221499,4.3722759089604,3.04501206994023,3.94181196117007
162,1280,184,6,3.41778033671764,0.474471014200701,28.2896661382004,-0.249019478384612,18.1777503125,132.372488804992,-0.00335240834169452,0.0557081269229075,42.7569013859502,5.64482521460383,-0.0150495402867658,52.5,3.41778033671764,2.48781714888427,4.34774352455101,2.94330932251694,3.89225135091834
