index,t,days,years,latmin,lonmin,latmax,lonmax,siteID,lpC,sdlpC,MLD
16,120,120,1998,50,-35,55,-25,6,2.75825460051134,0.688080200295258,61.5090185142228
17,128,128,1998,50,-35,55,-25,6,3.44038241185327,0.637713702324963,43.9086050541203
18,136,136,1998,50,-35,55,-25,6,3.2497317084273,0.611237491766187,28.1314191407297
19,144,144,1998,50,-35,55,-25,6,3.55148269528238,0.472946380223738,25.1168270519377
20,152,152,1998,50,-35,55,-25,6,3.75177518234092,0.469077245547086,22.102234966904
21,160,160,1998,50,-35,55,-25,6,4.04002302814376,0.449435645933368,19.0876428337396
22,168,168,1998,50,-35,55,-25,6,3.92428515716249,0.477818628908183,16.5977996496443
23,176,176,1998,50,-35,55,-25,6,3.79556847938029,0.557665398952368,15.6822031684882
24,184,184,1998,50,-35,55,-25,6,3.74017914261284,0.433727114715488,14.7666066893605
25,192,192,1998,50,-35,55,-25,6,3.80150061256899,0.334425625976344,13.851010256807
26,200,200,1998,50,-35,55,-25,6,3.65983991226872,0.410530720234566,13.532117268319
27,208,208,1998,50,-35,55,-25,6,3.48567403549852,0.397116239210268,13.8099277503044
28,216,216,1998,50,-35,55,-25,6,3.22775329044854,0.389875926151451,14.08773822522
29,224,224,1998,50,-35,55,-25,6,3.24801180178727,0.349682451917613,14.36554873868
30,232,232,1998,50,-35,55,-25,6,3.40852424513209,0.437669863641595,15.543325188458
31,240,240,1998,50,-35,55,-25,6,3.22153862282116,0.425769541248242,17.2610812234631
32,248,248,1998,50,-35,55,-25,6,3.04960098910825,0.416648077369811,18.9788373050343
33,256,256,1998,50,-35,55,-25,6,3.06478845463511,0.443153987137336,20.6965933289462
34,264,264,1998,50,-35,55,-25,6,2.77741006256612,0.369409037750868,25.4516334715818
35,272,272,1998,50,-35,55,-25,6,2.9316716884531,0.41023198263503,31.2191016318733
36,280,280,1998,50,-35,55,-25,6,2.70642127527876,0.463473610506524,36.9865697999796
37,288,288,1998,50,-35,55,-25,6,2.95161255249382,0.449268835047341,42.7540379410653
38,296,296,1998,50,-35,55,-25,6,2.31580635298011,0.760500332549643,48.4577610062893
39,304,304,1998,50,-35,55,-25,6,2.61776070313929,0.622852800089095,54.161484017604
40,312,312,1998,50,-35,55,-25,6,2.04780383435153,0.857836410917847,59.8652071216703
41,320,320,1998,50,-35,55,-25,6,2.26370787071369,0.683372943854249,65.2507819175722
42,328,328,1998,50,-35,55,-25,6,NaN,0.891790980087962,68.4093195176127
43,336,336,1998,50,-35,55,-25,6,NaN,0.82340826108836,71.5678571823571
44,344,344,1998,50,-35,55,-25,6,NaN,1.01126136018202,74.7263947686886
45,352,352,1998,50,-35,55,-25,6,NaN,0.935909970264878,85.6119180668064
46,360,360,1998,50,-35,55,-25,6,NaN,0.975479767246653,109.375751015677
47,366,1,1999,50,-35,55,-25,6,NaN,1.05971508442667,147.702660364575
48,373,8,1999,50,-35,55,-25,6,NaN,1.05971508442667,147.702660364575
49,381,16,1999,50,-35,55,-25,6,NaN,1.17543780102599,144.865374962621
50,389,24,1999,50,-35,55,-25,6,1.8927419503935,0.911305385955266,151.013900474575
51,397,32,1999,50,-35,55,-25,6,1.90199287493144,0.860211408321289,157.162426296738
52,405,40,1999,50,-35,55,-25,6,1.91182892111885,0.879601364433063,163.31095189598
53,413,48,1999,50,-35,55,-25,6,2.04764853714778,0.77263925351115,167.601713133124
54,421,56,1999,50,-35,55,-25,6,2.63693503688135,0.71152518649745,166.319180667997
55,429,64,1999,50,-35,55,-25,6,2.42704183708351,0.732727941805444,165.036648237573
56,437,72,1999,50,-35,55,-25,6,2.045757933255,0.814143667119824,163.754115676649
57,445,80,1999,50,-35,55,-25,6,2.52558447875914,0.701005731663794,152.759304830267
58,453,88,1999,50,-35,55,-25,6,2.70297731946653,0.645819170777125,138.52706781639
59,461,96,1999,50,-35,55,-25,6,2.23286835771018,0.768789818715328,124.294830759598
60,469,104,1999,50,-35,55,-25,6,2.6235014892847,0.663788656296817,110.062593810691
61,477,112,1999,50,-35,55,-25,6,2.95722187850122,0.579073222707559,90.9771614588301
62,485,120,1999,50,-35,55,-25,6,3.24413056664863,0.512337907500596,71.1984153881008
63,493,128,1999,50,-35,55,-25,6,3.22636058217771,0.400397494074359,51.4196694330046
64,501,136,1999,50,-35,55,-25,6,3.19904117643363,0.378670069743538,34.0287915083602
65,509,144,1999,50,-35,55,-25,6,3.47133862341949,0.425934512721458,33.3529902278549
66,517,152,1999,50,-35,55,-25,6,3.40820363152597,0.54007279249731,32.6771888698804
67,525,160,1999,50,-35,55,-25,6,3.63058897318714,0.508239572250285,32.0013876167769
68,533,168,1999,50,-35,55,-25,6,3.78037902407716,0.501191017959886,31.3762429857421
69,541,176,1999,50,-35,55,-25,6,3.72278351367088,0.538073800290509,30.9030685941048
70,549,184,1999,50,-35,55,-25,6,3.54781607823127,0.484123799906404,30.4298941559096
71,557,192,1999,50,-35,55,-25,6,3.27344744389112,0.437839699092459,29.9567197475666
72,565,200,1999,50,-35,55,-25,6,3.33372486896383,0.397247814793847,28.5280223379285
73,573,208,1999,50,-35,55,-25,6,3.21017744877702,0.377745439509517,26.143802016063
74,581,216,1999,50,-35,55,-25,6,3.190316966261,0.435853917104086,23.7595816472091
75,589,224,1999,50,-35,55,-25,6,3.35635996561255,0.56993711833414,21.3753613017335
76,597,232,1999,50,-35,55,-25,6,3.21857393284003,0.611565899863193,22.7171259565983
77,605,240,1999,50,-35,55,-25,6,3.3233964893501,0.643980717109052,26.2944816574289
78,613,248,1999,50,-35,55,-25,6,3.06538692554414,0.434981522643349,29.8718373545425
79,621,256,1999,50,-35,55,-25,6,3.17152937736021,0.387365777912028,33.4491930283856
80,629,264,1999,50,-35,55,-25,6,3.09343848281378,0.400058806681536,36.7585224670835
81,637,272,1999,50,-35,55,-25,6,2.77113372766653,0.443362183298277,39.9785097929671
82,645,280,1999,50,-35,55,-25,6,2.66638033420418,0.42242381120735,43.1984970763493
83,653,288,1999,50,-35,55,-25,6,2.79173398086383,0.543633760375816,46.4184844053787
84,661,296,1999,50,-35,55,-25,6,2.33923753194382,0.696331469292278,54.5324454159208
85,669,304,1999,50,-35,55,-25,6,2.2727264072717,0.945027776423439,62.6464064518281
86,677,312,1999,50,-35,55,-25,6,2.22986904661405,0.920180266289179,70.7603675057161
87,685,320,1999,50,-35,55,-25,6,1.75432448244615,1.17368064372234,80.5830959187282
88,693,328,1999,50,-35,55,-25,6,1.9009081734043,0.564660262072692,102.3671957443
89,701,336,1999,50,-35,55,-25,6,NaN,1.04054313362078,124.151295230124
90,709,344,1999,50,-35,55,-25,6,NaN,1.0193758498151,145.935394938092
91,717,352,1999,50,-35,55,-25,6,NaN,1.14624748184323,158.054942834775
92,725,360,1999,50,-35,55,-25,6,NaN,1.00189642618829,154.06690483484
93,732,1,2000,50,-35,55,-25,6,NaN,0.976071127423487,225.934787273607
94,739,8,2000,50,-35,55,-25,6,NaN,0.976071127423487,225.934787273607
95,747,16,2000,50,-35,55,-25,6,NaN,0.889079673168847,237.252810640468
96,755,24,2000,50,-35,55,-25,6,0.966599925739415,1.1775595855651,262.631541532081
97,763,32,2000,50,-35,55,-25,6,1.4485767134938,1.17547176258297,288.010272249515
98,771,40,2000,50,-35,55,-25,6,2.02682132201425,0.999175743466652,313.389002850984
99,779,48,2000,50,-35,55,-25,6,2.64473918454784,0.74271476194653,316.50462262114
100,787,56,2000,50,-35,55,-25,6,2.57096594881978,0.816075715162359,252.830908595126
101,795,64,2000,50,-35,55,-25,6,2.02302402817275,1.04339239910468,189.157194718652
102,803,72,2000,50,-35,55,-25,6,1.73175225342826,1.11417452964419,125.483480566277
103,811,80,2000,50,-35,55,-25,6,2.35600276310044,0.888803398721724,132.515827281508
104,819,88,2000,50,-35,55,-25,6,2.76746864499432,0.584515688245333,163.116861020393
105,827,96,2000,50,-35,55,-25,6,2.66454004343831,0.700652472484962,193.717894747622
106,835,104,2000,50,-35,55,-25,6,3.37553131541629,0.662791653908806,224.318928910627
107,843,112,2000,50,-35,55,-25,6,3.46512065883991,0.480421819315718,198.506669930585
108,851,120,2000,50,-35,55,-25,6,3.21956514652233,0.495105631174674,164.635369333161
109,859,128,2000,50,-35,55,-25,6,3.25796023473327,0.409838125072969,130.764068616927
110,867,136,2000,50,-35,55,-25,6,3.37479312722978,0.325241786535097,99.4944921082757
111,875,144,2000,50,-35,55,-25,6,3.43984237271005,0.380120291883039,86.4369842996863
112,883,152,2000,50,-35,55,-25,6,3.24925654283434,0.363558387563687,73.3794765255023
113,891,160,2000,50,-35,55,-25,6,3.26246827952924,0.379944460862819,60.3219688121149
114,899,168,2000,50,-35,55,-25,6,3.20399362958445,0.399394671006592,48.4634625333385
115,907,176,2000,50,-35,55,-25,6,3.14474568225573,0.369883504501646,40.2019608696965
116,915,184,2000,50,-35,55,-25,6,3.28822351823014,0.431666477381111,31.9404592392678
117,923,192,2000,50,-35,55,-25,6,3.47223871033482,0.430276176976728,23.6789575473965
118,931,200,2000,50,-35,55,-25,6,3.42302629850595,0.335098900385944,20.4514640615882
119,939,208,2000,50,-35,55,-25,6,3.43616551639536,0.369040244472205,22.2579787201187
120,947,216,2000,50,-35,55,-25,6,3.39836009683138,0.310739878056109,24.0644934013984
121,955,224,2000,50,-35,55,-25,6,3.43933657540407,0.365116171555019,25.8710080289511
122,963,232,2000,50,-35,55,-25,6,3.33563796175202,0.345646417126132,28.7993802047108
123,971,240,2000,50,-35,55,-25,6,3.16597869026604,0.317588795430828,32.4008668810627
124,979,248,2000,50,-35,55,-25,6,3.12747026554741,0.355089324567816,36.0023535193338
125,987,256,2000,50,-35,55,-25,6,2.87989101075627,0.32789299027107,39.6038402114809
126,995,264,2000,50,-35,55,-25,6,3.10967583367741,0.379600065810671,50.4637289761008
127,1003,272,2000,50,-35,55,-25,6,2.82383925346073,0.402513735717525,63.7430851871772
128,1011,280,2000,50,-35,55,-25,6,2.63855551807382,0.470988361146365,77.0224412710469
129,1019,288,2000,50,-35,55,-25,6,3.06398319024628,0.428057330710356,90.3017974557151
130,1027,296,2000,50,-35,55,-25,6,2.86999789163697,0.596767923856866,98.6911173231405
131,1035,304,2000,50,-35,55,-25,6,2.81999464975893,0.456313720331634,107.08043729206
132,1043,312,2000,50,-35,55,-25,6,2.31726220179234,0.618973700640095,115.469757139948
133,1051,320,2000,50,-35,55,-25,6,2.21081553225365,0.645396551369866,125.355745155745
134,1059,328,2000,50,-35,55,-25,6,1.94515159375215,0.985672792881141,145.718410360284
135,1067,336,2000,50,-35,55,-25,6,NaN,0.955359847949904,166.081074893475
136,1075,344,2000,50,-35,55,-25,6,NaN,1.16523849044121,186.443739967082
137,1083,352,2000,50,-35,55,-25,6,NaN,1.27031719274435,202.548798872631
138,1091,360,2000,50,-35,55,-25,6,NaN,1.46674557808674,211.557847241429
139,1097,1,2001,50,-35,55,-25,6,NaN,0.927960318380544,243.762791066568
140,1104,8,2001,50,-35,55,-25,6,NaN,0.927960318380544,243.762791066568
141,1112,16,2001,50,-35,55,-25,6,NaN,0.823189731651981,276.814568919607
142,1120,24,2001,50,-35,55,-25,6,1.61908043762475,1.12162942270999,266.143503615327
143,1128,32,2001,50,-35,55,-25,6,1.20166934361145,1.32793538935144,255.472438096869
144,1136,40,2001,50,-35,55,-25,6,0.880443899262232,1.39179560006513,244.801372610464
145,1144,48,2001,50,-35,55,-25,6,1.58907927855522,1.09352324008058,233.980292257734
146,1152,56,2001,50,-35,55,-25,6,1.53029982235406,1.0843103430668,222.709168080688
147,1160,64,2001,50,-35,55,-25,6,2.22294231605006,0.739671458324517,211.438043805825
148,1168,72,2001,50,-35,55,-25,6,2.23240151528595,0.69637692811888,200.166919484536
149,1176,80,2001,50,-35,55,-25,6,1.87526974110505,0.761412833772227,184.347617017097
150,1184,88,2001,50,-35,55,-25,6,2.12663512580722,0.773117218579922,167.012255488766
151,1192,96,2001,50,-35,55,-25,6,2.30910298548812,0.638340519966543,149.676894002159
152,1200,104,2001,50,-35,55,-25,6,2.19080012724547,0.725697743723249,132.341532512407
153,1208,112,2001,50,-35,55,-25,6,3.03376485703323,0.528821470218201,108.71607151664
154,1216,120,2001,50,-35,55,-25,6,3.10027533848505,0.453662473322094,84.1920251665182
155,1224,128,2001,50,-35,55,-25,6,3.03940431954307,0.564735094620164,59.6679786445367
156,1232,136,2001,50,-35,55,-25,6,3.16521073177104,0.506838145890154,37.5199837073519
157,1240,144,2001,50,-35,55,-25,6,3.26907627948831,0.434180329859417,32.0043500020107
158,1248,152,2001,50,-35,55,-25,6,3.67981342537028,0.429104058645301,26.4887162871163
159,1256,160,2001,50,-35,55,-25,6,3.8468436939625,0.493662820327358,20.9730825894906
160,1264,168,2001,50,-35,55,-25,6,3.6888898178568,0.414994699944371,16.799379487046
161,1272,176,2001,50,-35,55,-25,6,3.66603158620642,0.345645439718909,16.6514681798386
162,1280,184,2001,50,-35,55,-25,6,3.7844234253977,0.424505814221342,16.5035568771678
163,1288,192,2001,50,-35,55,-25,6,3.5916372827856,0.410965708562847,16.3556455603573
164,1296,200,2001,50,-35,55,-25,6,3.51872057928697,0.364706635815838,16.9306292448855
165,1304,208,2001,50,-35,55,-25,6,3.39650629799209,0.334608096564002,18.2285078992612
166,1312,216,2001,50,-35,55,-25,6,3.40365613026104,0.32513763481698,19.5263865735631
167,1320,224,2001,50,-35,55,-25,6,3.28904051289346,0.510488933499297,20.8242652435436
168,1328,232,2001,50,-35,55,-25,6,3.22667106663623,0.339302741349641,21.8433057627414
169,1336,240,2001,50,-35,55,-25,6,3.11509843852849,0.317923609935511,22.695043371502
170,1344,248,2001,50,-35,55,-25,6,3.06472507476549,0.313533751106958,23.5467809395162
171,1352,256,2001,50,-35,55,-25,6,3.05312063740795,0.332963174455959,24.3985185680125
172,1360,264,2001,50,-35,55,-25,6,2.9312282270957,0.434877389586527,29.571773511072
