tc,days,years,latmin,lonmin,latmax,lonmax,PhytC,stDevPhytC
51,33,1999,40,-45,45,-35,6.3027167990059,7.09868897966619
52,41,1999,40,-45,45,-35,10.136860170681,6.72459358579743
53,49,1999,40,-45,45,-35,11.0898130497554,7.76071450942147
54,57,1999,40,-45,45,-35,9.05998266413967,8.08948509399487
55,65,1999,40,-45,45,-35,12.549021360463,8.37922740476138
56,73,1999,40,-45,45,-35,12.232678950994,9.00823409102684
57,81,1999,40,-45,45,-35,17.6786125643552,11.2809501955742
58,89,1999,40,-45,45,-35,13.7322183997763,9.63750806952237
59,97,1999,40,-45,45,-35,28.9380531781415,20.0955516434987
60,105,1999,40,-45,45,-35,23.6841197891389,17.9977247507098
61,113,1999,40,-45,45,-35,17.8999846641596,11.3324556036248
62,121,1999,40,-45,45,-35,24.8364420054771,10.4901921493449
63,129,1999,40,-45,45,-35,26.9808624379255,12.946109665368
64,137,1999,40,-45,45,-35,25.2830222435876,10.0247258583998
65,145,1999,40,-45,45,-35,20.55282219578,7.30949335491947
66,153,1999,40,-45,45,-35,16.3993297239642,6.40554170889274
67,161,1999,40,-45,45,-35,14.0906441441096,6.11088338564595
68,169,1999,40,-45,45,-35,12.8240573507299,5.2340864996841
69,177,1999,40,-45,45,-35,10.7755874212418,5.56065751471098
70,185,1999,40,-45,45,-35,10.9874329083372,4.33889677346252
71,193,1999,40,-45,45,-35,13.2562445733903,4.33498698519359
72,201,1999,40,-45,45,-35,14.6573453190923,5.7368154149473
73,209,1999,40,-45,45,-35,14.7435143287728,5.45854924649383
74,217,1999,40,-45,45,-35,11.6297654572461,4.63372213856885
75,225,1999,40,-45,45,-35,11.8568728945405,4.56885520382915
76,233,1999,40,-45,45,-35,11.331295918874,5.44554298754125
77,241,1999,40,-45,45,-35,10.272508498868,5.78974423229396
78,249,1999,40,-45,45,-35,9.52712112216076,4.96459870229603
79,257,1999,40,-45,45,-35,11.4092704258073,5.9572464491578
80,265,1999,40,-45,45,-35,8.70242548096098,4.57689680592644
81,273,1999,40,-45,45,-35,8.44473557394412,4.59445835464136
82,281,1999,40,-45,45,-35,12.5717601040265,6.19613623227502
83,289,1999,40,-45,45,-35,16.3250052032082,8.95523386484554
84,297,1999,40,-45,45,-35,9.29752765122805,7.35603295731037
85,305,1999,40,-45,45,-35,5.9498260676768,5.1432659516952
86,313,1999,40,-45,45,-35,7.9874081365019,5.44380880674631
87,321,1999,40,-45,45,-35,8.42685086071907,5.68159660334042
88,329,1999,40,-45,45,-35,7.58860254052305,5.39811816826075
89,337,1999,40,-45,45,-35,7.1511514477556,5.72532998287951
90,345,1999,40,-45,45,-35,5.98274863737432,6.6544599326433
91,353,1999,40,-45,45,-35,6.20102057612296,5.47005601475225
92,361,1999,40,-45,45,-35,6.5998681519279,4.94455297434258
93,1,2000,40,-45,45,-35,10.5790636100092,7.03711716869265
94,9,2000,40,-45,45,-35,6.86793649438046,5.43809336336364
95,17,2000,40,-45,45,-35,5.94096515134651,8.0860960048035
