index,t,days,years,latmin,lonmin,latmax,lonmax,siteID,lpC
221,1749,288,2002,45,-45,50,-35,2,2.3942730680616
222,1757,296,2002,45,-45,50,-35,2,2.34275243257313
223,1765,304,2002,45,-45,50,-35,2,2.19981157115785
224,1773,312,2002,45,-45,50,-35,2,2.31447127771854
225,1781,320,2002,45,-45,50,-35,2,2.40761028759874
226,1789,328,2002,45,-45,50,-35,2,2.44844282649754
227,1797,336,2002,45,-45,50,-35,2,2.45358902344877
228,1805,344,2002,45,-45,50,-35,2,2.24111069652985
229,1813,352,2002,45,-45,50,-35,2,1.72016607656266
230,1821,360,2002,45,-45,50,-35,2,1.94365480425316
1,1,1,1998,50,-45,55,-35,3,NaN
2,8,8,1998,50,-45,55,-35,3,NaN
3,16,16,1998,50,-45,55,-35,3,NaN
4,24,24,1998,50,-45,55,-35,3,0.915863098194355
5,32,32,1998,50,-45,55,-35,3,-0.401253282705047
6,40,40,1998,50,-45,55,-35,3,0.91303145692417
7,48,48,1998,50,-45,55,-35,3,1.76184734861971
8,56,56,1998,50,-45,55,-35,3,2.12892262779904
9,64,64,1998,50,-45,55,-35,3,1.71930427495035
10,72,72,1998,50,-45,55,-35,3,2.03532716547021
