index,t,days,years,latmin,lonmin,latmax,lonmax,siteID,lpC,sdlpC
115,907,176,2000,45,-25,50,-15,8,3.29133055995087,0.32044227123403
116,915,184,2000,45,-25,50,-15,8,3.45953556968757,0.360534700499548
117,923,192,2000,45,-25,50,-15,8,3.38105362221181,0.348423746983305
118,931,200,2000,45,-25,50,-15,8,3.18086233194907,0.392313188544231
119,939,208,2000,45,-25,50,-15,8,3.04586284588073,0.38154898453795
120,947,216,2000,45,-25,50,-15,8,2.79288063144735,0.36504115526198
121,955,224,2000,45,-25,50,-15,8,2.65668418357838,0.378445858047476
122,963,232,2000,45,-25,50,-15,8,2.68694180013836,0.437509914128352
123,971,240,2000,45,-25,50,-15,8,2.5828468673715,0.387016544250721
124,979,248,2000,45,-25,50,-15,8,2.57974794836446,0.434229516004412
125,987,256,2000,45,-25,50,-15,8,2.54894429035343,0.398798393811551
126,995,264,2000,45,-25,50,-15,8,2.67860412642424,0.464903498524569
127,1003,272,2000,45,-25,50,-15,8,2.586767022085,0.544689768303673
128,1011,280,2000,45,-25,50,-15,8,2.56894183851638,0.547582225410373
129,1019,288,2000,45,-25,50,-15,8,2.20058855094943,0.485679787577775
130,1027,296,2000,45,-25,50,-15,8,2.62250762276529,0.571747782637729
131,1035,304,2000,45,-25,50,-15,8,2.76459155749035,0.609898757357643
132,1043,312,2000,45,-25,50,-15,8,2.71640684258135,0.650117888714285
133,1051,320,2000,45,-25,50,-15,8,2.36307169308402,0.905670657793156
134,1059,328,2000,45,-25,50,-15,8,2.33549690850821,0.745791091796788
135,1067,336,2000,45,-25,50,-15,8,1.61972747460445,1.18953454006246
136,1075,344,2000,45,-25,50,-15,8,1.47257375341521,1.32447098129952
137,1083,352,2000,45,-25,50,-15,8,2.18050761772108,1.171011245091
138,1091,360,2000,45,-25,50,-15,8,0.987212813403971,1.31443372307485
139,1097,1,2001,45,-25,50,-15,8,1.65409891937043,1.00298885520779
140,1104,8,2001,45,-25,50,-15,8,1.65409891937043,1.00298885520779
141,1112,16,2001,45,-25,50,-15,8,1.55559805102744,0.896503418282871
142,1120,24,2001,45,-25,50,-15,8,1.86948162111681,1.27362291087174
143,1128,32,2001,45,-25,50,-15,8,1.70506516791949,0.932516999756241
