index,t,days,siteID,ps1,lpC,sdpC,lsdps1,mld,dmld,N0,light
81,637,272,5,15.5138268030725,14.3128980946007,6.48713233093952,0.401423922299148,32.1720368827052,0.477614099501334,16.5627625,85.2673867845354
82,645,280,5,13.356424236041,12.3219553682226,5.58667096276201,0.401534120137033,35.9929496787159,0.47761409967517,16.5627625,71.1415107785114
83,653,288,5,13.272827992104,11.640642539937,7.27090348216551,0.512281749669224,39.8138624761173,0.509306610516378,16.5627625,47.9999529666445
84,661,296,5,13.65075961613,12.0036157841215,7.39249803842479,0.507123751900486,43.8883153602483,0.509306626982148,16.5627625,52.0684461172258
85,669,304,5,15.1866497616056,12.336429882809,10.9033556520241,0.644763635321823,47.9627683761055,0.509306620429788,16.5627625,42.1012261942921
86,677,312,5,12.3163031446293,9.81834409372189,9.32762507611892,0.673307301895,52.0372213395438,0.512528064399943,16.5627625,40.5539447259071
87,685,320,5,6.57917440604524,5.19230886244468,5.11968987945673,0.68808546196334,56.1374458547433,0.535078231975871,16.5627625,36.7863126232258
88,693,328,5,6.8055326358614,5.52262466281606,4.9007599301223,0.646347699947742,60.4180717105503,0.535078240498499,16.5627625,34.1679265427152
89,701,336,5,9.58081937320913,7.51301943950495,7.5816232721574,0.697317254992456,64.6986976345383,0.535078229138412,16.5627625,27.4571777585344
90,709,344,5,8.13053659313963,6.77356439860828,5.39809236494474,0.604316929383643,68.9793234676456,1.43464501534486,16.5627625,28.9684468294799
91,717,352,5,10.8328756016778,4.21451772549717,25.6508423470986,1.37408178893342,80.4564835904045,2.9339230324162,16.5627625,26.2127833667178
92,725,360,5,14.0594429081305,7.0718265352685,24.1581589235915,1.17232714417194,103.927867849734,9.06445275282114,16.5627625,21.7090689839772
93,732,1,5,10.97854909282,8.84325712776836,8.07668121002468,0.657705138016029,167.379037119482,0,16.5627625,17.0751869321229
94,739,8,5,10.97854909282,8.84325712776836,8.07668121002468,0.657705138016029,167.379037119482,-0.879350510728042,16.5627625,16.65890155259
95,747,16,5,10.1016874315906,8.94466798087036,5.30158799179958,0.493244125967601,160.344233033658,-0.658961433793113,16.5627625,33.1411879802313
96,755,24,5,8.22069838326739,5.35002600219309,9.59060826067405,0.926880516364443,155.072541563313,-0.658961440995334,16.5627625,35.5325389670204
97,763,32,5,6.6045826309265,4.7122910044847,6.48590439898749,0.821692817907905,149.80085003535,-0.658961474017953,16.5627625,35.2155278970955
98,771,40,5,11.0696949523315,9.67823175150945,6.14557963996885,0.518328034721177,144.529158243207,-1.26951799357936,16.5627625,44.41484729667
